<<<<<<< HEAD
id,class
1,YOUNG
2,OLD
3,OLD
4,YOUNG
5,MIDDLE
6,OLD
7,OLD
8,OLD
9,MIDDLE
10,YOUNG
11,YOUNG
12,YOUNG
13,OLD
14,YOUNG
15,YOUNG
16,YOUNG
18,MIDDLE
19,YOUNG
20,MIDDLE
21,OLD
22,OLD
23,OLD
24,YOUNG
25,OLD
26,MIDDLE
27,YOUNG
28,OLD
29,YOUNG
30,OLD
31,MIDDLE
32,YOUNG
33,YOUNG
34,YOUNG
35,YOUNG
36,MIDDLE
37,OLD
38,YOUNG
39,MIDDLE
40,MIDDLE
41,MIDDLE
42,MIDDLE
43,YOUNG
44,YOUNG
45,YOUNG
46,YOUNG
47,OLD
48,OLD
49,YOUNG
50,YOUNG
51,MIDDLE
52,YOUNG
53,OLD
54,MIDDLE
55,OLD
56,OLD
57,YOUNG
58,OLD
59,YOUNG
60,OLD
61,OLD
62,OLD
63,MIDDLE
64,OLD
65,OLD
66,OLD
67,YOUNG
68,MIDDLE
69,MIDDLE
70,MIDDLE
71,OLD
72,MIDDLE
73,MIDDLE
74,YOUNG
75,MIDDLE
76,OLD
77,YOUNG
78,MIDDLE
79,MIDDLE
80,YOUNG
81,OLD
82,OLD
83,MIDDLE
84,OLD
85,OLD
86,MIDDLE
87,OLD
88,YOUNG
89,OLD
90,OLD
91,OLD
92,OLD
93,YOUNG
94,OLD
95,OLD
96,MIDDLE
97,YOUNG
98,YOUNG
99,OLD
100,OLD
101,OLD
102,MIDDLE
103,YOUNG
104,YOUNG
105,OLD
106,MIDDLE
107,OLD
108,MIDDLE
109,MIDDLE
110,OLD
111,MIDDLE
112,YOUNG
113,OLD
114,OLD
115,MIDDLE
116,YOUNG
117,YOUNG
118,OLD
119,OLD
120,OLD
121,OLD
122,YOUNG
123,YOUNG
124,MIDDLE
125,MIDDLE
126,OLD
127,MIDDLE
128,YOUNG
129,OLD
130,MIDDLE
131,MIDDLE
132,OLD
133,YOUNG
134,YOUNG
135,OLD
136,YOUNG
137,YOUNG
138,MIDDLE
139,OLD
140,YOUNG
141,MIDDLE
142,YOUNG
143,MIDDLE
144,OLD
145,YOUNG
146,MIDDLE
147,YOUNG
148,YOUNG
149,OLD
150,YOUNG
151,OLD
152,MIDDLE
153,MIDDLE
154,MIDDLE
155,OLD
156,OLD
157,MIDDLE
158,YOUNG
159,MIDDLE
160,OLD
161,YOUNG
162,YOUNG
163,OLD
164,OLD
165,MIDDLE
166,OLD
167,MIDDLE
168,MIDDLE
169,MIDDLE
170,OLD
171,OLD
172,MIDDLE
173,OLD
174,YOUNG
175,YOUNG
176,YOUNG
177,MIDDLE
178,YOUNG
179,OLD
180,YOUNG
181,MIDDLE
182,MIDDLE
183,YOUNG
184,MIDDLE
185,OLD
186,YOUNG
187,OLD
188,OLD
189,MIDDLE
190,YOUNG
191,YOUNG
192,MIDDLE
193,OLD
194,MIDDLE
195,MIDDLE
196,YOUNG
197,YOUNG
198,OLD
199,OLD
200,OLD
201,OLD
202,YOUNG
203,MIDDLE
204,MIDDLE
205,OLD
206,YOUNG
207,MIDDLE
208,YOUNG
209,MIDDLE
210,YOUNG
211,OLD
212,OLD
213,OLD
214,MIDDLE
215,YOUNG
216,OLD
217,YOUNG
218,OLD
219,MIDDLE
220,MIDDLE
221,YOUNG
222,OLD
223,OLD
224,OLD
225,MIDDLE
226,MIDDLE
227,YOUNG
228,YOUNG
229,YOUNG
230,YOUNG
231,OLD
232,MIDDLE
233,MIDDLE
234,MIDDLE
235,YOUNG
236,MIDDLE
237,OLD
238,OLD
239,MIDDLE
240,OLD
241,OLD
242,MIDDLE
243,YOUNG
244,MIDDLE
245,MIDDLE
246,YOUNG
247,MIDDLE
248,MIDDLE
249,YOUNG
250,MIDDLE
251,MIDDLE
252,YOUNG
253,OLD
254,OLD
255,MIDDLE
256,OLD
257,YOUNG
258,YOUNG
259,YOUNG
260,MIDDLE
261,MIDDLE
262,YOUNG
263,MIDDLE
264,MIDDLE
265,MIDDLE
266,MIDDLE
267,OLD
268,OLD
269,OLD
270,MIDDLE
271,YOUNG
272,YOUNG
273,OLD
274,YOUNG
275,OLD
276,OLD
277,MIDDLE
278,OLD
279,MIDDLE
280,OLD
281,MIDDLE
282,OLD
283,OLD
284,YOUNG
285,YOUNG
286,YOUNG
287,OLD
288,OLD
289,YOUNG
290,MIDDLE
291,YOUNG
292,MIDDLE
293,MIDDLE
294,OLD
295,YOUNG
296,OLD
297,YOUNG
298,OLD
299,OLD
300,MIDDLE
301,YOUNG
302,OLD
303,MIDDLE
304,YOUNG
305,OLD
306,MIDDLE
307,YOUNG
308,OLD
309,MIDDLE
310,YOUNG
311,YOUNG
312,MIDDLE
313,MIDDLE
314,OLD
315,MIDDLE
316,MIDDLE
317,OLD
318,YOUNG
319,OLD
320,YOUNG
321,YOUNG
322,YOUNG
323,OLD
324,YOUNG
325,YOUNG
326,YOUNG
327,MIDDLE
328,YOUNG
329,MIDDLE
330,MIDDLE
331,OLD
332,OLD
333,OLD
334,YOUNG
335,OLD
336,MIDDLE
337,YOUNG
338,YOUNG
339,OLD
340,YOUNG
341,YOUNG
342,OLD
343,OLD
344,YOUNG
345,MIDDLE
346,YOUNG
347,MIDDLE
348,MIDDLE
349,MIDDLE
350,MIDDLE
351,OLD
352,OLD
353,YOUNG
354,YOUNG
355,OLD
356,OLD
357,MIDDLE
358,YOUNG
359,OLD
360,MIDDLE
361,OLD
362,YOUNG
363,YOUNG
364,OLD
365,MIDDLE
366,OLD
367,YOUNG
368,MIDDLE
369,OLD
370,MIDDLE
371,MIDDLE
372,OLD
373,YOUNG
374,OLD
375,YOUNG
376,OLD
377,YOUNG
378,OLD
379,MIDDLE
380,YOUNG
381,YOUNG
382,MIDDLE
383,YOUNG
384,YOUNG
385,MIDDLE
386,YOUNG
387,MIDDLE
388,YOUNG
